,Path,Real Class Name,Predicted Class Name,Predicted Class Number
0,imagenetv2-matched-frequency-format-val/745/baa9ae6600c01d33863b640dc1095831f46fff7e.jpeg,projector,cassette_player,482
1,imagenetv2-matched-frequency-format-val/745/ea2679db0b3cd4b0a85db58bab43af0c047343a4.jpeg,projector,sewing_machine,786
2,imagenetv2-matched-frequency-format-val/745/96918b82e1df3bc3e2b0ffa72067dcc3db0bb92c.jpeg,projector,modem,662
3,imagenetv2-matched-frequency-format-val/420/306eda83953306360e3b7da8845f14abcaa252f8.jpeg,banjo,oboe,683
4,imagenetv2-matched-frequency-format-val/420/7a9a141eedbcab7972af9fe437573a10ef1de095.jpeg,banjo,drum,541
5,imagenetv2-matched-frequency-format-val/420/d261bb5a0762bbc6b5f5a1e7738c8922d4014f5f.jpeg,banjo,sax,776
6,imagenetv2-matched-frequency-format-val/420/e90654589f2b43d5b6e903a2dd784bf98a06f662.jpeg,banjo,buckle,464
7,imagenetv2-matched-frequency-format-val/420/227651008a843c8a1b5d2735b51379244ab867f4.jpeg,banjo,scabbard,777
8,imagenetv2-matched-frequency-format-val/284/b57ce5b270fd737c78264553d0877306c6e046db.jpeg,Siamese_cat,plastic_bag,728
9,imagenetv2-matched-frequency-format-val/284/2895291027a7b3a8ccbd533ac748940cac882619.jpeg,Siamese_cat,malinois,225
10,imagenetv2-matched-frequency-format-val/284/dbbac3fd44fc70cc9c1f16d18f29210b2bd343c8.jpeg,Siamese_cat,monitor,664
11,imagenetv2-matched-frequency-format-val/284/6110268371897987a61efcd7b4fa3dd17e98a94c.jpeg,Siamese_cat,picket_fence,716
12,imagenetv2-matched-frequency-format-val/284/a7f78369824d79054ed1e324bd4ddbfd78b6144f.jpeg,Siamese_cat,Persian_cat,283
13,imagenetv2-matched-frequency-format-val/510/4bed8c0b5cb088d8124aa6149097832ee00b5760.jpeg,container_ship,lifeboat,625
14,imagenetv2-matched-frequency-format-val/510/3e6e4930a34111400fc692dd93e9854cf81dcbde.jpeg,container_ship,drilling_platform,540
15,imagenetv2-matched-frequency-format-val/510/bc172de246313cc456bfd9939f52761926664871.jpeg,container_ship,dock,536
16,imagenetv2-matched-frequency-format-val/510/7e047adf6e2984b281c0f3fb032a741760e6b770.jpeg,container_ship,dock,536
17,imagenetv2-matched-frequency-format-val/287/9cc65cead6749f3af9801d19b34614ae1189312e.jpeg,lynx,lion,291
18,imagenetv2-matched-frequency-format-val/287/8b61f0862695b20347fd33a7913bb57190aea75d.jpeg,lynx,coyote,272
19,imagenetv2-matched-frequency-format-val/287/1619eaaae35bed33cb3dd80a32cb3f2bbd911659.jpeg,lynx,snow_leopard,289
20,imagenetv2-matched-frequency-format-val/38/53c24e834f1e2fdaa13024313b61446675572d47.jpeg,banded_gecko,rock_python,62
21,imagenetv2-matched-frequency-format-val/38/e2cbe9e77d12bff0b6015c3c32e97793c3167715.jpeg,banded_gecko,king_snake,56
22,imagenetv2-matched-frequency-format-val/38/7498f2ef72e76bc758c523bb3c296ab9f4da3d65.jpeg,banded_gecko,sea_snake,65
23,imagenetv2-matched-frequency-format-val/38/6a63a294341844f1cc2d6f3ae1276d9b0c4eb041.jpeg,banded_gecko,hay,958
24,imagenetv2-matched-frequency-format-val/38/bb5e56be19d69d63bdabd5bb7dd742a4779a4897.jpeg,banded_gecko,king_snake,56
25,imagenetv2-matched-frequency-format-val/335/b85131a6b7f0ac5b46dfae18eee074c5aecef302.jpeg,fox_squirrel,nipple,680
26,imagenetv2-matched-frequency-format-val/335/78a78f23dc34a7cb32ca7fc23970f1efa9ed9877.jpeg,fox_squirrel,quail,85
27,imagenetv2-matched-frequency-format-val/335/58f9df92699bcbf52b87fedf4d174fccb2b05eb6.jpeg,fox_squirrel,titi,380
28,imagenetv2-matched-frequency-format-val/335/2567eab9e42852553a95eaa862153d3a697489dc.jpeg,fox_squirrel,water_snake,58
29,imagenetv2-matched-frequency-format-val/409/5d97844c01cc2d5d53280a5857a3ea95fa2afbe5.jpeg,analog_clock,cup,968
30,imagenetv2-matched-frequency-format-val/409/140256db9db75edcdc6039b5ccaf3ccb2dfa5bd5.jpeg,analog_clock,doormat,539
31,imagenetv2-matched-frequency-format-val/409/19c5b967075b2ffdc9a0a49ed7902e21535d001d.jpeg,analog_clock,stopwatch,826
32,imagenetv2-matched-frequency-format-val/409/33b5a819bba2e132b3686f1d346a4628d3fc7320.jpeg,analog_clock,magnetic_compass,635
33,imagenetv2-matched-frequency-format-val/409/172e417861c52e747579ac6501a7611c08cb7db2.jpeg,analog_clock,wall_clock,892
34,imagenetv2-matched-frequency-format-val/990/1c771cf0f7aa7939a3cf0a943a987939f25b53ce.jpeg,buckeye,fox_squirrel,335
35,imagenetv2-matched-frequency-format-val/990/0487aa6bcfcc165345a6e74f666796b52dc218e2.jpeg,buckeye,hook,600
36,imagenetv2-matched-frequency-format-val/386/c7ed821ad6c0a0b4ce8ad1c336b4ad4e3379c767.jpeg,African_elephant,Arabian_camel,354
37,imagenetv2-matched-frequency-format-val/537/4c757aa4aa565ab902f7073bd1626c5d449c9747.jpeg,dogsled,pug,254
38,imagenetv2-matched-frequency-format-val/537/cdd13541bc000df908941d909ca99f9267cdfa8f.jpeg,dogsled,volcano,980
39,imagenetv2-matched-frequency-format-val/300/e359b218a779968e78d322f6281fd3ecbdaadde8.jpeg,tiger_beetle,fiddler_crab,120
40,imagenetv2-matched-frequency-format-val/727/fb70c0e203e4efe00325cbbd32b8ee097488432f.jpeg,planetarium,church,497
41,imagenetv2-matched-frequency-format-val/727/86d8eabcf4b1dd41efea7c583038e3c824417281.jpeg,planetarium,dome,538
42,imagenetv2-matched-frequency-format-val/727/69d89714dc655903e6b61821a387ed6f856454fc.jpeg,planetarium,barn,425
43,imagenetv2-matched-frequency-format-val/727/ea0eb8808f617ab2ecd14aaddf0a1d319844ec4e.jpeg,planetarium,palace,698
44,imagenetv2-matched-frequency-format-val/727/65e87715edf3e14ae0bb44822e4cd6827121913e.jpeg,planetarium,dome,538
45,imagenetv2-matched-frequency-format-val/177/d872811789620bb7399b97310c64fd71b8bca901.jpeg,Scottish_deerhound,orangutan,365
46,imagenetv2-matched-frequency-format-val/177/03c5132bd336c8eb565f39d04c2ce7d0b0dd4c67.jpeg,Scottish_deerhound,jeep,609
47,imagenetv2-matched-frequency-format-val/888/df4bb833cb797a016fa1b9b890f6472af51457b2.jpeg,viaduct,steel_arch_bridge,821
48,imagenetv2-matched-frequency-format-val/888/2f8286cc642f8ee1109cebac7376b6e4aec5ca38.jpeg,viaduct,bannister,421
49,imagenetv2-matched-frequency-format-val/888/9d9785ec6e3c07b6c50a054a873fa4a531af2ea7.jpeg,viaduct,triumphal_arch,873
50,imagenetv2-matched-frequency-format-val/888/393ede9ab2878313a4bffff372a16ac04824cc0b.jpeg,viaduct,breakwater,460
51,imagenetv2-matched-frequency-format-val/331/7ffabf7edfc4cecc7ffb0cb71732171c7c05ffce.jpeg,hare,wood_rabbit,330
