,Path,Real Class Name,Predicted Class Name,Predicted Class Number
0,imagenetv2-matched-frequency-format-val/745/baa9ae6600c01d33863b640dc1095831f46fff7e.jpeg,projector,reflex_camera,759
1,imagenetv2-matched-frequency-format-val/745/8799385e883a820159460b9123f8e9a0d720b265.jpeg,projector,sewing_machine,786
2,imagenetv2-matched-frequency-format-val/745/9bf7bbbc73d63b34d8c40c58b2c568fbe374165c.jpeg,projector,Polaroid_camera,732
3,imagenetv2-matched-frequency-format-val/745/2f29871b40d6337257305e754302b7e3ea56bae0.jpeg,projector,sewing_machine,786
4,imagenetv2-matched-frequency-format-val/745/96918b82e1df3bc3e2b0ffa72067dcc3db0bb92c.jpeg,projector,toaster,859
5,imagenetv2-matched-frequency-format-val/420/306eda83953306360e3b7da8845f14abcaa252f8.jpeg,banjo,electric_guitar,546
6,imagenetv2-matched-frequency-format-val/284/b57ce5b270fd737c78264553d0877306c6e046db.jpeg,Siamese_cat,plastic_bag,728
7,imagenetv2-matched-frequency-format-val/284/2895291027a7b3a8ccbd533ac748940cac882619.jpeg,Siamese_cat,wallaby,104
8,imagenetv2-matched-frequency-format-val/284/3d7d5b751c13a4cd959b1a9138790c452a460399.jpeg,Siamese_cat,packet,692
9,imagenetv2-matched-frequency-format-val/284/d7df634be61cb4ac299f9e96ec8f92674efbd967.jpeg,Siamese_cat,wallaby,104
10,imagenetv2-matched-frequency-format-val/284/6110268371897987a61efcd7b4fa3dd17e98a94c.jpeg,Siamese_cat,prison,743
11,imagenetv2-matched-frequency-format-val/284/a7f78369824d79054ed1e324bd4ddbfd78b6144f.jpeg,Siamese_cat,Persian_cat,283
12,imagenetv2-matched-frequency-format-val/510/bc172de246313cc456bfd9939f52761926664871.jpeg,container_ship,dock,536
13,imagenetv2-matched-frequency-format-val/510/7e047adf6e2984b281c0f3fb032a741760e6b770.jpeg,container_ship,dock,536
14,imagenetv2-matched-frequency-format-val/510/d6f6a23ee07208cc2b24a61df93181c8eddc3c4e.jpeg,container_ship,drilling_platform,540
15,imagenetv2-matched-frequency-format-val/287/2572f3d6dfc53d4a6c4714aad83b0a9810092393.jpeg,lynx,hare,331
16,imagenetv2-matched-frequency-format-val/287/1619eaaae35bed33cb3dd80a32cb3f2bbd911659.jpeg,lynx,snow_leopard,289
17,imagenetv2-matched-frequency-format-val/38/e2cbe9e77d12bff0b6015c3c32e97793c3167715.jpeg,banded_gecko,night_snake,60
18,imagenetv2-matched-frequency-format-val/38/6a63a294341844f1cc2d6f3ae1276d9b0c4eb041.jpeg,banded_gecko,megalith,649
